ID,Contractee,Contractor,CPV,Type,Country,Nuts,Value,Currency,Value in EUR
437913-2020,Opća bolnica Pula - Ospedale Generale di Pola,Medical intertrade d.o.o.,33696500,SUPPLIES,HR,HR036,2284729.79,HRK,303416.97
437913-2020,Opća bolnica Pula - Ospedale Generale di Pola,Medical intertrade d.o.o.,33696500,SUPPLIES,HR,HR036,1699922.18,HRK,225753.28
437913-2020,Opća bolnica Pula - Ospedale Generale di Pola,MES d.o.o.,33696500,SUPPLIES,HR,HR036,662822.0,HRK,88024.17
437913-2020,Opća bolnica Pula - Ospedale Generale di Pola,Medika d.d.,33696500,SUPPLIES,HR,HR036,929450.18,HRK,123432.96
437913-2020,Opća bolnica Pula - Ospedale Generale di Pola,Medika d.d.,33696500,SUPPLIES,HR,HR036,1684600.4,HRK,223718.51
437913-2020,Opća bolnica Pula - Ospedale Generale di Pola,Jasika d.o.o.,33696500,SUPPLIES,HR,HR036,380303.0,HRK,50505.05
439143-2020,Instituto para la Competitividad Empresarial de la Junta de Castilla y León,Galera Publicidad S. L.,79340000,SERVICES,ES,ES418,107000.0,EUR,107000.0
439143-2020,Instituto para la Competitividad Empresarial de la Junta de Castilla y León,Galera Publicidad S. L.,79340000,SERVICES,ES,ES418,45047.0,EUR,45047.0
439143-2020,Instituto para la Competitividad Empresarial de la Junta de Castilla y León,Galera Publicidad S. L.,79340000,SERVICES,ES,ES418,45047.0,EUR,45047.0
439143-2020,Instituto para la Competitividad Empresarial de la Junta de Castilla y León,Galera Publicidad S. L.,79340000,SERVICES,ES,ES418,45047.0,EUR,45047.0
439143-2020,Instituto para la Competitividad Empresarial de la Junta de Castilla y León,Entorno de Publicidad S. L. U.,79340000,SERVICES,ES,ES418,76929.98,EUR,76929.98
439143-2020,Instituto para la Competitividad Empresarial de la Junta de Castilla y León,Galera Publicidad S. L.,79340000,SERVICES,ES,ES418,72675.0,EUR,72675.0
439143-2020,Instituto para la Competitividad Empresarial de la Junta de Castilla y León,Galera Publicidad S. L.,79340000,SERVICES,ES,ES418,77286.0,EUR,77286.0
437353-2020,Viešoji įstaiga Respublikinė Panevėžio ligoninė,KO-Li Logistics,44100000,SUPPLIES,LT,LT,44080.0,EUR,44080.0
436490-2020,Fraunhofer-Gesellschaft zur Förderung der angewandten Forschung e. V.,SPIE Fleischhauer GmbH,45314000,WORKS,DE,DE212,48809.55,EUR,48809.55
437906-2020,KfW Bankengruppe,Performance in Lighting GmbH,31521200,SUPPLIES,DE,DE712,0.01,EUR,0.01
437540-2020,Generalitat Valenciana Conselleria de Hacienda y Modelo Económico,Telefónica Soluciones de Informática y Comunicaciones de España S. A. Sociedad Unipersonal,48218000,SUPPLIES,ES,ES52,739280.25,EUR,739280.25
436350-2020,CASA A/S,FP Alu Glas A/S,45000000,WORKS,DK,DK042,1483695.0,DKK,198886.73
439537-2020,Zarząd Dróg Miejskich w Gliwicach,Remondis Gliwice sp. z o.o.,90611000,SERVICES,PL,PL229,215680.0,PLN,46583.15
439673-2020,Métropole Toulon Provence méditerranée,SAS Socotec équipements,71334000,SERVICES,FR,FRL05,22090.0,EUR,22090.0
439673-2020,Métropole Toulon Provence méditerranée,SAS Socotec équipements,71334000,SERVICES,FR,FRL05,13410.0,EUR,13410.0
439673-2020,Métropole Toulon Provence méditerranée,SAS Socotec équipements,71334000,SERVICES,FR,FRL05,17290.0,EUR,17290.0
437787-2020,Narodowy Instytut Geriatrii Reumatologii i Rehabilitacji im. prof. dr hab. med. Eleonory Reicher,Beckman Coulter Polska Sp. z o.o.,33696500,SUPPLIES,PL,PL911,344610.7,PLN,74429.96
439073-2020,Immobilière 3F,Crédit foncier expertise,71000000,SERVICES,FR,FR101,59886.0,EUR,59886.0
439125-2020,Stadt Heinsberg – Zentrale Vergabestelle,Vermessungsbüro Dipl.-Ing. H. Birkenbach,71250000,SERVICES,DE,DEA29,3094.8,EUR,3094.8
436472-2020,Stadt Freiburg i. Br. – Vergabemanagement,Nohl Brandschutz GmbH,45343200,WORKS,DE,DE131,418321.53,EUR,418321.53
439057-2020,Magyar Turisztikai Ügynökség Zrt.,Sagemcom Magyarország Elektronikai Kft.,72000000,SERVICES,HU,HU110,186835000.0,HUF,508145.67
437820-2020,CH Verdun Saint-Mihiel,Abbott,33696500,SUPPLIES,FR,FRF,1200.0,EUR,1200.0
437820-2020,CH Verdun Saint-Mihiel,BCMS,33696500,SUPPLIES,FR,FRF,95.0,EUR,95.0
437820-2020,CH Verdun Saint-Mihiel,Becton Dickinson,33696500,SUPPLIES,FR,FRF,6041.0,EUR,6041.0
437820-2020,CH Verdun Saint-Mihiel,Biomérieux,33696500,SUPPLIES,FR,FRF,326448.0,EUR,326448.0
437820-2020,CH Verdun Saint-Mihiel,Biorad,33696500,SUPPLIES,FR,FRF,17276.0,EUR,17276.0
437820-2020,CH Verdun Saint-Mihiel,Biosynex,33696500,SUPPLIES,FR,FRF,15244.0,EUR,15244.0
437820-2020,CH Verdun Saint-Mihiel,Diagast,33696500,SUPPLIES,FR,FRF,33000.0,EUR,33000.0
437820-2020,CH Verdun Saint-Mihiel,Dutscher,33696500,SUPPLIES,FR,FRF,449.0,EUR,449.0
437820-2020,CH Verdun Saint-Mihiel,Elitech,33696500,SUPPLIES,FR,FRF,1331.0,EUR,1331.0
437820-2020,CH Verdun Saint-Mihiel,Eurobio,33696500,SUPPLIES,FR,FRF,8999.0,EUR,8999.0
437820-2020,CH Verdun Saint-Mihiel,Hanova,33696500,SUPPLIES,FR,FRF,3165.0,EUR,3165.0
437820-2020,CH Verdun Saint-Mihiel,Labelians,33696500,SUPPLIES,FR,FRF,72681.0,EUR,72681.0
437820-2020,CH Verdun Saint-Mihiel,Labo Moderne,33696500,SUPPLIES,FR,FRF,774.0,EUR,774.0
437820-2020,CH Verdun Saint-Mihiel,Mast Diagnostic,33696500,SUPPLIES,FR,FRF,3307.0,EUR,3307.0
437820-2020,CH Verdun Saint-Mihiel,Meridian Bioscience,33696500,SUPPLIES,FR,FRF,50690.0,EUR,50690.0
437820-2020,CH Verdun Saint-Mihiel,Nal Von Minden,33696500,SUPPLIES,FR,FRF,6562.0,EUR,6562.0
437820-2020,CH Verdun Saint-Mihiel,Thermofisher Diagnostics,33696500,SUPPLIES,FR,FRF,15506.0,EUR,15506.0
437820-2020,CH Verdun Saint-Mihiel,Greiner Bio One,33696500,SUPPLIES,FR,FRF,65749.0,EUR,65749.0
436526-2020,Bezirksamt Spandau von Berlin,Wirth & Co GmbH,45000000,WORKS,DE,DE300,491216.0,EUR,491216.0
436346-2020,Studierendenwerk Stuttgart AöR,R+S solutions GmbH,45315300,WORKS,DE,DE11,837242.72,EUR,837242.72
436448-2020,PVG Personenverkehrsgesellschaft mbH,Meyer Lies Fußbodenbau Biesenrode GmbH,45000000,WORKS,DE,DEE08,22975.62,EUR,22975.62
437426-2020,Spitalul Clinic „Sfânta Maria”,Mediplus Solutions,33141121,SUPPLIES,RO,RO321,19065.6,RON,3859.43
437548-2020,Consip SpA a socio unico,RTI Europam srl — Eredi Campidonico SpA,9132100,SUPPLIES,IT,IT,40600000.0,EUR,40600000.0
437548-2020,Consip SpA a socio unico,Eni Fuel S.p.A.,9132100,SUPPLIES,IT,IT,25400000.0,EUR,25400000.0
437548-2020,Consip SpA a socio unico,Q8 Quaser s.r.l.,9132100,SUPPLIES,IT,IT,62600000.0,EUR,62600000.0
437548-2020,Consip SpA a socio unico,Eni Fuel S.p.A.,9132100,SUPPLIES,IT,IT,23100000.0,EUR,23100000.0
437548-2020,Consip SpA a socio unico,Eni Fuel S.p.A.,9132100,SUPPLIES,IT,IT,46800000.0,EUR,46800000.0
437548-2020,Consip SpA a socio unico,Q8 Quaser s.r.l.,9132100,SUPPLIES,IT,IT,18500000.0,EUR,18500000.0
437548-2020,Consip SpA a socio unico,Eni Fuel S.p.A.,9132100,SUPPLIES,IT,IT,53900000.0,EUR,53900000.0
437548-2020,Consip SpA a socio unico,Q8 Quaser s.r.l.,9132100,SUPPLIES,IT,IT,22100000.0,EUR,22100000.0
437548-2020,Consip SpA a socio unico,Eni Fuel S.p.A.,9132100,SUPPLIES,IT,IT,10700000.0,EUR,10700000.0
437548-2020,Consip SpA a socio unico,B.P. Energia S.r.l.,9132100,SUPPLIES,IT,IT,25000000.0,EUR,25000000.0
437548-2020,Consip SpA a socio unico,Eni Fuel S.p.A.,9132100,SUPPLIES,IT,IT,23100000.0,EUR,23100000.0
437548-2020,Consip SpA a socio unico,RTI AF Petroli S.p.A. - Cristoforetti S.p.A. - Chiurlo S.r.l.,9132100,SUPPLIES,IT,IT,41200000.0,EUR,41200000.0
437548-2020,Consip SpA a socio unico,Bronchi Combustibili S.r.l.,9132100,SUPPLIES,IT,IT,12000000.0,EUR,12000000.0
437548-2020,Consip SpA a socio unico,Bronchi Combustibili S.r.l.,9132100,SUPPLIES,IT,IT,15500000.0,EUR,15500000.0
437548-2020,Consip SpA a socio unico,Eni Fuel S.p.A.,9132100,SUPPLIES,IT,IT,21700000.0,EUR,21700000.0
437548-2020,Consip SpA a socio unico,Bronchi Combustibili S.r.l.,9132100,SUPPLIES,IT,IT,21100000.0,EUR,21100000.0
437548-2020,Consip SpA a socio unico,Q8 Quaser s.r.l.,9132100,SUPPLIES,IT,IT,9600000.0,EUR,9600000.0
437548-2020,Consip SpA a socio unico,Testoni S.r.l.,9132100,SUPPLIES,IT,IT,5100000.0,EUR,5100000.0
437847-2020,Centre Pompidou,Kos Lighting,39100000,SUPPLIES,FR,FR101,40000.0,EUR,40000.0
437847-2020,Centre Pompidou,SARL Les Usines Réunies,39100000,SUPPLIES,FR,FR101,80000.0,EUR,80000.0
437342-2020,Direção-Geral de Reinserção e Serviços Prisionais,ITAÚ — Instituto Técnico de Alimentação Humana S. A.,39220000,SUPPLIES,PT,PT15,176164.05,EUR,176164.05
439709-2020,Państwowe Gospodarstwo Leśne Lasy Państwowe Nadleśnictwo Międzylesie,Adriana Muszyńska,71520000,SERVICES,PL,PL517,29520.0,PLN,6375.81
439031-2020,EHESS,Advency SARL,72420000,SERVICES,FR,FR,78521.0,EUR,78521.0
437699-2020,Osnovna šola Veliki Gaber,Kmetijska zadruga Trebnje z.o.o.,15000000,SUPPLIES,SI,SI,86186.2,EUR,86186.2
437699-2020,Osnovna šola Veliki Gaber,Kmetijska zadruga Trebnje z.o.o.,15000000,SUPPLIES,SI,SI,21621.32,EUR,21621.32
437699-2020,Osnovna šola Veliki Gaber,Monsun podjetje za trgovino in storitve d.o.o.,15000000,SUPPLIES,SI,SI,5211.68,EUR,5211.68
437699-2020,Osnovna šola Veliki Gaber,Ljubljanske mlekarne mlekarska industrija d.o.o.,15000000,SUPPLIES,SI,SI,29055.8,EUR,29055.8
437699-2020,Osnovna šola Veliki Gaber,Kele & Kele proizvodnja trgovina in storitve d.o.o.,15000000,SUPPLIES,SI,SI,3227.64,EUR,3227.64
437699-2020,Osnovna šola Veliki Gaber,Ljubljanske mlekarne mlekarska industrija d.o.o.,15000000,SUPPLIES,SI,SI,21519.76,EUR,21519.76
437699-2020,Osnovna šola Veliki Gaber,ŽITO prehrambena industrija d.o.o.,15000000,SUPPLIES,SI,SI,45350.0,EUR,45350.0
437699-2020,Osnovna šola Veliki Gaber,Iz krušne peči storitve in trgovina d.o.o.,15000000,SUPPLIES,SI,SI,4400.0,EUR,4400.0
437699-2020,Osnovna šola Veliki Gaber,Pekarna Pečjak d.o.o.,15000000,SUPPLIES,SI,SI,12584.04,EUR,12584.04
437699-2020,Osnovna šola Veliki Gaber,ŽITO prehrambena industrija d.o.o.,15000000,SUPPLIES,SI,SI,87.68,EUR,87.68
437699-2020,Osnovna šola Veliki Gaber,Iz krušne peči storitve in trgovina d.o.o.,15000000,SUPPLIES,SI,SI,2013.2,EUR,2013.2
437699-2020,Osnovna šola Veliki Gaber,ŽITO prehrambena industrija d.o.o.,15000000,SUPPLIES,SI,SI,10136.2,EUR,10136.2
437699-2020,Osnovna šola Veliki Gaber,Geaprodukt trgovsko podjetje na debelo in drobno d.o.o.,15000000,SUPPLIES,SI,SI,4510.0,EUR,4510.0
437699-2020,Osnovna šola Veliki Gaber,Geaprodukt trgovsko podjetje na debelo in drobno d.o.o.,15000000,SUPPLIES,SI,SI,21916.64,EUR,21916.64
437699-2020,Osnovna šola Veliki Gaber,Geaprodukt trgovsko podjetje na debelo in drobno d.o.o.,15000000,SUPPLIES,SI,SI,12897.16,EUR,12897.16
437699-2020,Osnovna šola Veliki Gaber,Geaprodukt trgovsko podjetje na debelo in drobno d.o.o.,15000000,SUPPLIES,SI,SI,23558.32,EUR,23558.32
437699-2020,Osnovna šola Veliki Gaber,Impuls trgovina in druge storitve Domžale d.o.o.,15000000,SUPPLIES,SI,SI,13765.16,EUR,13765.16
437699-2020,Osnovna šola Veliki Gaber,Pekarna Pečjak d.o.o.,15000000,SUPPLIES,SI,SI,3392.24,EUR,3392.24
437699-2020,Osnovna šola Veliki Gaber,Pekarna Pečjak d.o.o.,15000000,SUPPLIES,SI,SI,14447.52,EUR,14447.52
437699-2020,Osnovna šola Veliki Gaber,Poslovni sistem Mercator d.d.,15000000,SUPPLIES,SI,SI,3412.32,EUR,3412.32
437699-2020,Osnovna šola Veliki Gaber,Poslovni sistem Mercator d.d.,15000000,SUPPLIES,SI,SI,2262.4,EUR,2262.4
437699-2020,Osnovna šola Veliki Gaber,Impuls trgovina in druge storitve Domžale d.o.o.,15000000,SUPPLIES,SI,SI,492.96,EUR,492.96
437699-2020,Osnovna šola Veliki Gaber,Geaprodukt trgovsko podjetje na debelo in drobno d.o.o.,15000000,SUPPLIES,SI,SI,3080.0,EUR,3080.0
437699-2020,Osnovna šola Veliki Gaber,Poslovni sistem Mercator d.d.,15000000,SUPPLIES,SI,SI,6578.08,EUR,6578.08
437699-2020,Osnovna šola Veliki Gaber,Poslovni sistem Mercator d.d.,15000000,SUPPLIES,SI,SI,46032.36,EUR,46032.36
437699-2020,Osnovna šola Veliki Gaber,Impuls trgovina in druge storitve Domžale d.o.o.,15000000,SUPPLIES,SI,SI,1095.72,EUR,1095.72
437699-2020,Osnovna šola Veliki Gaber,Poslovni sistem Mercator d.d.,15000000,SUPPLIES,SI,SI,75904.64,EUR,75904.64
439034-2020,Rouen Normandie aménagement social publique locale,Semofi,71332000,SERVICES,FR,FRD22,55853.0,EUR,55853.0
439083-2020,Junta de Gobierno del Ayuntamiento de Málaga,Ferronol Servicio Integral S. L.,90910000,SERVICES,ES,ES617,79144.24,EUR,79144.24
439408-2020,Bundesanstalt für Immobilienaufgaben,RGM Facility Management GmbH,50700000,SERVICES,DE,DE300,1.0,EUR,1.0
437892-2020,Středomoravská nemocniční a.s.,Johnson & Johnson s.r.o.,33168000,SUPPLIES,CZ,CZ071,4012050.0,CZK,158893.07
436378-2020,Zweckverband Staatliche weiterführende Schulen im Osten des Landkreises München,Universale Bau GmbH,45214200,WORKS,DE,DE21H,686880.64,EUR,686880.64
439272-2020,INSS — Dirección Provincial de Málaga,FCC Industrial e Infraestructuras Energéticas S. A. U.,50700000,SERVICES,ES,ES617,158543.17,EUR,158543.17
439266-2020,Staatliches Bauamt Kempten,Scher + Klimke AG,71000000,SERVICES,DE,DE273,661527.34,EUR,661527.34
437528-2020,Amgros I/S,Aspen Pharma Ireland Limited,33600000,SUPPLIES,DK,DK0,98000.0,DKK,13136.73
437528-2020,Amgros I/S,Aspen Pharma Ireland Limited,33600000,SUPPLIES,DK,DK0,225000.0,DKK,30160.86
437528-2020,Amgros I/S,Aspen Pharma Ireland Limited,33600000,SUPPLIES,DK,DK0,1250000.0,DKK,167560.32
437580-2020,Comunidade Intermunicipal da Região de Coimbra,EDP Comercial — Comercialização de Energia S. A.,9310000,SUPPLIES,PT,PT16E,10000000.0,EUR,10000000.0
437580-2020,Comunidade Intermunicipal da Região de Coimbra,Endesa Energia S. A.,9310000,SUPPLIES,PT,PT16E,1000000.0,EUR,1000000.0
437580-2020,Comunidade Intermunicipal da Região de Coimbra,Galp Power S. A.,9310000,SUPPLIES,PT,PT16E,10000000.0,EUR,10000000.0
440837-2020,Cardiff City Council,Cardiff Homecare Ltd,85312000,SERVICES,UK,UKG13,15.9,GBP,18.71
436516-2020,Kuratorium Wiener Pensionisten – Wohnhäuser,Schwarzl Möbelmanufaktur OG,45422000,WORKS,AT,AT,1114455.0,EUR,1114455.0
437388-2020,Consorci Mar Parc de Salut de Barcelona,ABBVIE SPAIN S.L.,33690000,SUPPLIES,ES,ES511,3036888.08,EUR,3036888.08
437388-2020,Consorci Mar Parc de Salut de Barcelona,ALCON HEALTHCARE S.A.U.,33690000,SUPPLIES,ES,ES511,4004.54,EUR,4004.54
437388-2020,Consorci Mar Parc de Salut de Barcelona,AMGEN S.A.,33690000,SUPPLIES,ES,ES511,229013.54,EUR,229013.54
437388-2020,Consorci Mar Parc de Salut de Barcelona,BAYER HISPANIA S.L.,33690000,SUPPLIES,ES,ES511,31433.43,EUR,31433.43
437388-2020,Consorci Mar Parc de Salut de Barcelona,BIOGEN SPAIN S.L.,33690000,SUPPLIES,ES,ES511,36288.78,EUR,36288.78
437388-2020,Consorci Mar Parc de Salut de Barcelona,BOEHRINGER INGELHEIM ESPAÑAS.A.,33690000,SUPPLIES,ES,ES511,142254.79,EUR,142254.79
437388-2020,Consorci Mar Parc de Salut de Barcelona,BRISTOL MYERS SQUIBB S.A.,33690000,SUPPLIES,ES,ES511,636828.66,EUR,636828.66
437388-2020,Consorci Mar Parc de Salut de Barcelona,CELGENES.L.,33690000,SUPPLIES,ES,ES511,356866.21,EUR,356866.21
437388-2020,Consorci Mar Parc de Salut de Barcelona,CORREVIO SPAIN S.L.,33690000,SUPPLIES,ES,ES511,2848.48,EUR,2848.48
437388-2020,Consorci Mar Parc de Salut de Barcelona,FERRER INTERNACIONALS.A.,33690000,SUPPLIES,ES,ES511,15544.54,EUR,15544.54
437388-2020,Consorci Mar Parc de Salut de Barcelona,GE HEAL THCARE BIO-SCIENCES S.A.,33690000,SUPPLIES,ES,ES511,22118.4,EUR,22118.4
437388-2020,Consorci Mar Parc de Salut de Barcelona,GILEAD SCIENCE IBERIA S.L.,33690000,SUPPLIES,ES,ES511,1084414.5,EUR,1084414.5
437388-2020,Consorci Mar Parc de Salut de Barcelona,GLAXOSMITHKLINES.A.,33690000,SUPPLIES,ES,ES511,316225.99,EUR,316225.99
437388-2020,Consorci Mar Parc de Salut de Barcelona,INTERCEPT PHARMA SPAIN S.L.,33690000,SUPPLIES,ES,ES511,60001.5,EUR,60001.5
437388-2020,Consorci Mar Parc de Salut de Barcelona,IPSEN PHARMAS.A.,33690000,SUPPLIES,ES,ES511,16794.12,EUR,16794.12
437388-2020,Consorci Mar Parc de Salut de Barcelona,JANSSEN CILAG S.A.,33690000,SUPPLIES,ES,ES511,1505546.96,EUR,1505546.96
437388-2020,Consorci Mar Parc de Salut de Barcelona,LABORATORIOS FIDIA FARMACEUTICA S.L.,33690000,SUPPLIES,ES,ES511,17898.96,EUR,17898.96
437388-2020,Consorci Mar Parc de Salut de Barcelona,LABORATORIOS LEO PHARMAS.A.,33690000,SUPPLIES,ES,ES511,29141.83,EUR,29141.83
437388-2020,Consorci Mar Parc de Salut de Barcelona,LABORATORIOS VIIV HEALTHCARE S.L.,33690000,SUPPLIES,ES,ES511,176524.62,EUR,176524.62
437388-2020,Consorci Mar Parc de Salut de Barcelona,LILLYS.A.,33690000,SUPPLIES,ES,ES511,333248.99,EUR,333248.99
437388-2020,Consorci Mar Parc de Salut de Barcelona,MERCKS.L.,33690000,SUPPLIES,ES,ES511,207359.1,EUR,207359.1
437388-2020,Consorci Mar Parc de Salut de Barcelona,MERCK SHARP & DOHME ESPANAS.A.,33690000,SUPPLIES,ES,ES511,992894.16,EUR,992894.16
437388-2020,Consorci Mar Parc de Salut de Barcelona,NOVARTIS FARMACEUTICA S.A.,33690000,SUPPLIES,ES,ES511,815732.97,EUR,815732.97
437388-2020,Consorci Mar Parc de Salut de Barcelona,OTSUKA PHARMACEUTICAL S.A.,33690000,SUPPLIES,ES,ES511,145945.85,EUR,145945.85
437388-2020,Consorci Mar Parc de Salut de Barcelona,PFIZERS.L.U.,33690000,SUPPLIES,ES,ES511,958763.18,EUR,958763.18
437388-2020,Consorci Mar Parc de Salut de Barcelona,ROCHE FARMAS.A.,33690000,SUPPLIES,ES,ES511,921354.71,EUR,921354.71
437388-2020,Consorci Mar Parc de Salut de Barcelona,UCB PHARMAS.A.,33690000,SUPPLIES,ES,ES511,2695.45,EUR,2695.45
437775-2020,Deutsche Rentenversicherung Knappschaft-Bahn-See,EMRAmed Arzneimittel GmbH Abacus Medicine A/S Originali B. V.,33600000,SUPPLIES,DE,DEA51,1.0,EUR,1.0
437775-2020,Deutsche Rentenversicherung Knappschaft-Bahn-See,Tillomed Pharma GmbH,33600000,SUPPLIES,DE,DEA51,1.0,EUR,1.0
439405-2020,Państwowe Gospodarstwo Leśne reprezentujące Skarb Państwa Nadleśnictwo Barycz,P.P.U.H. Drewbud Piotr Jędryka,77200000,SERVICES,PL,PL721,23984.8,PLN,5180.3
439148-2020,Communauté d'agglomération Tulle agglo,Pivadis,71241000,SERVICES,FR,FRI21,149450.0,EUR,149450.0
437654-2020,Υπουργείο Υγείας,M.S. Jacovides and Co. Ltd.,33622000,SUPPLIES,CY,CY,145167.1,EUR,145167.1
439746-2020,Waterschap Scheldestromen,Eurofins Analytico bv,71900000,SERVICES,NL,NL,3200000.0,EUR,3200000.0
437812-2020,Junta de Gobierno del Ayuntamiento de Sevilla,Fibratel S. L.,31211100,SUPPLIES,ES,ES618,542850.0,EUR,542850.0
437812-2020,Junta de Gobierno del Ayuntamiento de Sevilla,GFM Ingeniería y Gestión de Infraestructuras Críticas S. L. U.,31211100,SUPPLIES,ES,ES618,10850.0,EUR,10850.0
439149-2020,Ville de Saint-Priest,Groupement Bureau Francine (mandataire)/Pirate l'Atelier Graphique,79342000,SERVICES,FR,FRK26,190440.0,EUR,190440.0
439471-2020,Stadt Bochum Referat Zentraler Einkauf,Banz + Riecks Ingenieurgesellschaft mbH,71240000,SERVICES,DE,DEA51,0.01,EUR,0.01
437452-2020,Centre hospitalier régional universitaire de Tours,Sicah,44617100,SUPPLIES,FR,FRB04,1606.0,EUR,1606.0
437452-2020,Centre hospitalier régional universitaire de Tours,Paredes,44617100,SUPPLIES,FR,FRB04,10904.0,EUR,10904.0
